score_name,horizon_months,split,source_id,rows,threshold,bloom_positive,bloom_rate,pr_auc,roc_auc,brier,recall,macro_f1
blend_irc1_w0p25,1,validation,all,163110,0.39999999999999997,20506,0.1257188400465943,0.664425382000224,0.9094345810592034,0.06444912961490802,0.6413732566078221,0.7962875056590191
blend_irc1_w0p25,1,validation,aquamatch_chla,110443,0.39999999999999997,12376,0.11205780357288375,0.6243377141885594,0.9036516152970601,0.061053888503529184,0.6186166774402069,0.7875601579874861
blend_irc1_w0p25,1,validation,lakebed_us_cse,445,0.39999999999999997,55,0.12359550561797752,0.2549950934825477,0.7746620046620046,0.13474046978392826,0.6181818181818182,0.6291666666666667
blend_irc1_w0p25,1,validation,wqp,52222,0.39999999999999997,8075,0.1546283175673088,0.7244443129736747,0.9182418280160408,0.07103066551335693,0.6764086687306502,0.809987146885317
gate_full_irc1_w0p25,1,validation,all,163110,0.35,20506,0.1257188400465943,0.6623856902382463,0.9078795487449074,0.06461815500542795,0.6666341558568224,0.7947233188602372
gate_full_irc1_w0p25,1,validation,aquamatch_chla,110443,0.35,12376,0.11205780357288375,0.6233156489772957,0.9035387121289826,0.06116889284943605,0.6426955397543633,0.7856511677628122
gate_full_irc1_w0p25,1,validation,lakebed_us_cse,445,0.35,55,0.12359550561797752,0.2890230798641145,0.7852680652680651,0.142852615302191,0.6545454545454545,0.6201185819829887
gate_full_irc1_w0p25,1,validation,wqp,52222,0.35,8075,0.1546283175673088,0.7228316454588812,0.9174648656567514,0.07124625284660897,0.7034055727554179,0.8090571116617387
gate_trophic_irc1_w0p25,1,validation,all,163110,0.39999999999999997,20506,0.1257188400465943,0.6627183797306369,0.9085219649030818,0.06455675444671649,0.6354237784063201,0.7950638942913086
gate_trophic_irc1_w0p25,1,validation,aquamatch_chla,110443,0.39999999999999997,12376,0.11205780357288375,0.6238411695623303,0.903598999164516,0.06107918971192652,0.613283775048481,0.7865883142968529
gate_trophic_irc1_w0p25,1,validation,lakebed_us_cse,445,0.39999999999999997,55,0.12359550561797752,0.2542607886047472,0.7736596736596736,0.1354840392541205,0.6363636363636364,0.6324577314244996
gate_trophic_irc1_w0p25,1,validation,wqp,52222,0.39999999999999997,8075,0.1546283175673088,0.7210383546169092,0.9162044943992002,0.0713069754314569,0.6693498452012384,0.8083364399953048
gate_exogenous_no_chla_w0p25,1,validation,all,163110,0.35,20506,0.1257188400465943,0.6499743458003496,0.8965092528677484,0.06497856054135048,0.6566858480444748,0.793760661047909
gate_exogenous_no_chla_w0p25,1,validation,aquamatch_chla,110443,0.35,12376,0.11205780357288375,0.6178576100972422,0.8992303811868946,0.0612370085218282,0.6364738202973497,0.7852378518583369
gate_exogenous_no_chla_w0p25,1,validation,lakebed_us_cse,445,0.35,55,0.12359550561797752,0.2622303206491535,0.7736130536130535,0.1437243989912455,0.6363636363636364,0.6094808473949994
gate_exogenous_no_chla_w0p25,1,validation,wqp,52222,0.35,8075,0.1546283175673088,0.7081443683599725,0.9073798155767379,0.072220457281841,0.6878018575851393,0.8075670488599858
blend_irc1_w0p5,1,validation,all,163110,0.39999999999999997,20506,0.1257188400465943,0.6577219075903981,0.9085827887904913,0.06510631606554733,0.652296888715498,0.7957995886497008
blend_irc1_w0p5,1,validation,aquamatch_chla,110443,0.39999999999999997,12376,0.11205780357288375,0.6243135030235345,0.9035324308047145,0.06133220525159165,0.6340497737556561,0.7869947488468081
blend_irc1_w0p5,1,validation,lakebed_us_cse,445,0.39999999999999997,55,0.12359550561797752,0.2535353119705144,0.7774592074592074,0.11470849715359226,0.5454545454545454,0.6371058079201355
blend_irc1_w0p5,1,validation,wqp,52222,0.39999999999999997,8075,0.1546283175673088,0.7126808815863611,0.916143086834647,0.07266541280717975,0.6809907120743034,0.8098076758325332
gate_full_irc1_w0p5,1,validation,all,163110,0.39999999999999997,20506,0.1257188400465943,0.6611011756818916,0.9077017541991655,0.06472640603481544,0.6368867648493124,0.7956927549262901
gate_full_irc1_w0p5,1,validation,aquamatch_chla,110443,0.39999999999999997,12376,0.11205780357288375,0.6235055641255312,0.9035579754884281,0.06111628657946882,0.6138493859082095,0.7866184566316818
gate_full_irc1_w0p5,1,validation,lakebed_us_cse,445,0.39999999999999997,55,0.12359550561797752,0.2957025959135532,0.791048951048951,0.12364928730214174,0.6181818181818182,0.6391640543364681
gate_full_irc1_w0p5,1,validation,wqp,52222,0.39999999999999997,8075,0.1546283175673088,0.7177191413315978,0.9167039515673817,0.07185925695670443,0.6723219814241486,0.8098357061704065
gate_trophic_irc1_w0p5,1,validation,all,163110,0.39999999999999997,20506,0.1257188400465943,0.658960284645358,0.9080525651221838,0.06492247033969417,0.6335706622451965,0.7957587702862294
gate_trophic_irc1_w0p5,1,validation,aquamatch_chla,110443,0.39999999999999997,12376,0.11205780357288375,0.6243843965364193,0.9036519110923524,0.06106095552384917,0.6164350355526826,0.7873200390731505
gate_trophic_irc1_w0p5,1,validation,lakebed_us_cse,445,0.39999999999999997,55,0.12359550561797752,0.2509301848625102,0.7756177156177156,0.1156057833517611,0.5454545454545454,0.6309464991530209
gate_trophic_irc1_w0p5,1,validation,wqp,52222,0.39999999999999997,8075,0.1546283175673088,0.7117611760501842,0.9147287015565293,0.07265720295269254,0.6604334365325077,0.8093119627171388
gate_exogenous_no_chla_w0p5,1,validation,all,163110,0.34872979214780603,20506,0.1257188400465943,0.6425276909484241,0.8954545482244983,0.06589546982362186,0.6542963035209207,0.7931415142976415
