evaluation_cohort,model_id,model_seed,degradation_seed,aggregation_level,horizon_months,estimand,degradation_family,metric,retention_orientation,aupd,status,aupd_seed_sd,registered_seed_slots
fresh_primary,P1,20260613,20260613,seed,1,observation_weighted,mcar,brier,lower,0.9226489369862682,estimated,,1
fresh_primary,P1,20260614,20260614,seed,1,observation_weighted,mcar,brier,lower,0.929242845486453,estimated,,1
fresh_primary,P1,1729,1729,seed,1,observation_weighted,mcar,pr_auc,higher,0.8553971360310606,estimated,,1
fresh_primary,P1,314159,314159,seed,1,observation_weighted,mcar,pr_auc,higher,0.7649153174176214,estimated,,1
fresh_primary,P1,20260612,20260612,seed,1,observation_weighted,mcar,pr_auc,higher,0.8683013084827507,estimated,,1
fresh_primary,P1,20260613,20260613,seed,1,observation_weighted,mcar,pr_auc,higher,0.7848809208117472,estimated,,1
fresh_primary,P1,20260614,20260614,seed,1,observation_weighted,mcar,pr_auc,higher,0.8082381878690398,estimated,,1
fresh_primary,P1,1729,1729,seed,1,observation_weighted,temporal_block,brier,lower,0.9419331552465623,estimated,,1
fresh_primary,P1,314159,314159,seed,1,observation_weighted,temporal_block,brier,lower,0.9587545206396132,estimated,,1
fresh_primary,P1,20260612,20260612,seed,1,observation_weighted,temporal_block,brier,lower,0.960726007133467,estimated,,1
fresh_primary,P1,20260613,20260613,seed,1,observation_weighted,temporal_block,brier,lower,0.9490647847303011,estimated,,1
fresh_primary,P1,20260614,20260614,seed,1,observation_weighted,temporal_block,brier,lower,0.9511345155006357,estimated,,1
fresh_primary,P1,1729,1729,seed,1,observation_weighted,temporal_block,pr_auc,higher,0.8903232467772852,estimated,,1
fresh_primary,P1,314159,314159,seed,1,observation_weighted,temporal_block,pr_auc,higher,0.9082298130940435,estimated,,1
fresh_primary,P1,20260612,20260612,seed,1,observation_weighted,temporal_block,pr_auc,higher,0.91879920547753,estimated,,1
fresh_primary,P1,20260613,20260613,seed,1,observation_weighted,temporal_block,pr_auc,higher,0.8478525856835657,estimated,,1
fresh_primary,P1,20260614,20260614,seed,1,observation_weighted,temporal_block,pr_auc,higher,0.899443652185813,estimated,,1
fresh_primary,P1,1729,1729,seed,1,site_weighted,mcar,brier,lower,0.9439830125408906,estimated,,1
fresh_primary,P1,314159,314159,seed,1,site_weighted,mcar,brier,lower,0.9453916655233462,estimated,,1
fresh_primary,P1,20260612,20260612,seed,1,site_weighted,mcar,brier,lower,0.9774793475269,estimated,,1
fresh_primary,P1,20260613,20260613,seed,1,site_weighted,mcar,brier,lower,0.9729315794204244,estimated,,1
fresh_primary,P1,20260614,20260614,seed,1,site_weighted,mcar,brier,lower,0.9599824084635824,estimated,,1
fresh_primary,P1,1729,1729,seed,1,site_weighted,mcar,pr_auc,higher,0.8538038546625941,estimated,,1
fresh_primary,P1,314159,314159,seed,1,site_weighted,mcar,pr_auc,higher,0.839025098846435,estimated,,1
fresh_primary,P1,20260612,20260612,seed,1,site_weighted,mcar,pr_auc,higher,0.9626866842928166,estimated,,1
fresh_primary,P1,20260613,20260613,seed,1,site_weighted,mcar,pr_auc,higher,0.8883519535159914,estimated,,1
fresh_primary,P1,20260614,20260614,seed,1,site_weighted,mcar,pr_auc,higher,0.871295138715898,estimated,,1
fresh_primary,P1,1729,1729,seed,1,site_weighted,temporal_block,brier,lower,0.9640536809364875,estimated,,1
fresh_primary,P1,314159,314159,seed,1,site_weighted,temporal_block,brier,lower,0.9822363443923671,estimated,,1
fresh_primary,P1,20260612,20260612,seed,1,site_weighted,temporal_block,brier,lower,0.9856967185392853,estimated,,1
fresh_primary,P1,20260613,20260613,seed,1,site_weighted,temporal_block,brier,lower,0.9868331055626749,estimated,,1
fresh_primary,P1,20260614,20260614,seed,1,site_weighted,temporal_block,brier,lower,0.9792004920555423,estimated,,1
fresh_primary,P1,1729,1729,seed,1,site_weighted,temporal_block,pr_auc,higher,0.907669874164935,estimated,,1
fresh_primary,P1,314159,314159,seed,1,site_weighted,temporal_block,pr_auc,higher,0.9737830730882889,estimated,,1
fresh_primary,P1,20260612,20260612,seed,1,site_weighted,temporal_block,pr_auc,higher,0.9921739615529662,estimated,,1
fresh_primary,P1,20260613,20260613,seed,1,site_weighted,temporal_block,pr_auc,higher,0.9176430313085341,estimated,,1
fresh_primary,P1,20260614,20260614,seed,1,site_weighted,temporal_block,pr_auc,higher,0.9619085084404082,estimated,,1
fresh_primary,P1,1729,1729,seed,2,observation_weighted,mcar,brier,lower,0.9219511326336713,estimated,,1
fresh_primary,P1,314159,314159,seed,2,observation_weighted,mcar,brier,lower,0.8975597262522195,estimated,,1
fresh_primary,P1,20260612,20260612,seed,2,observation_weighted,mcar,brier,lower,0.9482132097987162,estimated,,1
fresh_primary,P1,20260613,20260613,seed,2,observation_weighted,mcar,brier,lower,0.9266303622009143,estimated,,1
fresh_primary,P1,20260614,20260614,seed,2,observation_weighted,mcar,brier,lower,0.9204282577102607,estimated,,1
fresh_primary,P1,1729,1729,seed,2,observation_weighted,mcar,pr_auc,higher,0.8968683855658671,estimated,,1
fresh_primary,P1,314159,314159,seed,2,observation_weighted,mcar,pr_auc,higher,0.7331917609986895,estimated,,1
fresh_primary,P1,20260612,20260612,seed,2,observation_weighted,mcar,pr_auc,higher,0.8657218585015828,estimated,,1
fresh_primary,P1,20260613,20260613,seed,2,observation_weighted,mcar,pr_auc,higher,0.846034956397903,estimated,,1
fresh_primary,P1,20260614,20260614,seed,2,observation_weighted,mcar,pr_auc,higher,0.7927915735724089,estimated,,1
